date,low,high,open,close,volume
2021-03-20 00:00:00,57846.37,58743.2,58087.3,58547.93,46.25196122
2021-03-19 23:00:00,58013.28,58746.59,58510.12,58087.28,17.59781642
2021-03-19 22:00:00,58302.95,58665.57,58665.57,58510.1,11.57380287
2021-03-19 21:00:00,58332.43,58746.59,58408.06,58665.55,3.80877026
2021-03-19 20:00:00,58173.13,59458.28,58881.94,58408.04,68.92173587
2021-03-19 19:00:00,58692.07,58972.06,58800.01,58881.89,3.33320279
2021-03-19 18:00:00,58422.54,58972.06,58925.9,58799.98,13.40465384
2021-03-19 17:00:00,58673.26,58985.01,58856.95,58925.88,61.43649366
2021-03-19 16:00:00,58710.63,59188.34,59030.24,58856.93,39.31294938
2021-03-19 15:00:00,58513.98,59177.42,58737.57,59030.21,18.63444755
2021-03-19 14:00:00,57960.22,58763.84,58200.08,58737.56,24.00975493
2021-03-19 13:00:00,58035.95,58829.98,58829.98,58200.06,29.27941142
2021-03-19 12:00:00,58756.62,59225.01,58834.83,58829.96,8305.18467237
2021-03-19 11:00:00,58435.2,58834.83,58661.53,58834.81,17.46722386
2021-03-19 10:00:00,58146.0,58664.82,58298.07,58661.51,11.22386953
2021-03-19 09:00:00,58228.22,58864.91,58327.66,58298.05,13.81143942
2021-03-19 08:00:00,57553.84,58554.64,57773.08,58327.64,69.07499737
2021-03-19 07:00:00,57773.06,58348.91,58109.47,57773.06,27.22828923
2021-03-19 06:00:00,57980.99,58469.01,58292.89,58109.45,17.91961956
2021-03-19 05:00:00,57660.52,58370.75,57849.4,58292.88,30.64139341
2021-03-19 04:00:00,57651.24,58270.76,57797.9,57849.38,18.24132095
2021-03-19 03:00:00,57326.09,57897.5,57385.96,57797.88,21.16336105
2021-03-19 02:00:00,57219.26,58057.86,57388.16,57385.94,132.91256463
2021-03-19 01:00:00,56670.26,57419.72,56807.33,57388.17,18.74131987
2021-03-19 00:00:00,56291.55,57661.36,57655.58,56807.35,22.6304314
2021-03-18 23:00:00,57421.77,58000.33,57707.61,57655.6,38.4548113
2021-03-18 22:00:00,57702.58,58136.23,57924.91,57707.63,34.86285778
2021-03-18 21:00:00,57446.17,57988.05,57495.3,57924.93,183.71787862
2021-03-18 20:00:00,57039.8,57900.36,57339.24,57495.3,91.63727634
2021-03-18 19:00:00,57314.44,58384.85,58188.2,57339.26,110.28619971
